date_completed,dedup_n_of_reached_contacts_household,dedup_n_of_reached_contacts_non_household,mean_days_between_exposure_completion_contact_household,mean_days_between_exposure_completion_contact_non_household
04/08/2020,42,111,2.1,2.1
05/08/2020,81,156,1.5,1.5
06/08/2020,78,131,2.2,2.2
07/08/2020,41,91,2.1,2.1
08/08/2020,69,136,1.4,1.4
09/08/2020,39,54,1.6,1.6
10/08/2020,58,76,2.3,2.3
11/08/2020,69,142,2.9,2.9
12/08/2020,84,224,2.0,2.0
13/08/2020,50,177,2.3,2.3
14/08/2020,67,180,1.8,1.8
15/08/2020,53,87,2.2,2.2
16/08/2020,49,91,2.4,2.4
17/08/2020,25,95,2.2,2.2
18/08/2020,60,183,3.1,3.1
19/08/2020,63,186,3.4,3.4
20/08/2020,99,206,4.1,4.1
21/08/2020,81,190,4.0,4.0
22/08/2020,97,257,3.1,3.1
23/08/2020,80,140,3.1,3.1
24/08/2020,84,254,4.1,4.1
25/08/2020,132,406,4.9,4.9
26/08/2020,45,156,4.5,4.5
27/08/2020,77,190,4.4,4.4
28/08/2020,76,186,4.0,4.0
29/08/2020,119,148,3.4,3.4
30/08/2020,162,267,2.8,2.8
31/08/2020,176,314,3.0,3.0
01/09/2020,197,547,4.1,4.1
02/09/2020,170,473,4.1,4.1
03/09/2020,171,396,5.1,5.1
04/09/2020,184,415,4.0,4.0
05/09/2020,197,362,3.2,3.2
06/09/2020,158,308,3.0,3.0
07/09/2020,232,372,4.0,4.0
08/09/2020,236,476,3.6,3.6
09/09/2020,175,366,3.9,3.9
10/09/2020,200,439,3.3,3.3
11/09/2020,174,336,3.5,3.5
12/09/2020,149,300,4.1,4.1
13/09/2020,193,287,4.1,4.1
14/09/2020,189,413,3.1,3.1
15/09/2020,292,514,3.0,3.0
16/09/2020,306,571,3.3,3.3
17/09/2020,283,442,3.0,3.0
18/09/2020,292,506,3.0,3.0
19/09/2020,248,363,3.2,3.2
20/09/2020,279,461,3.1,3.1
21/09/2020,352,583,3.8,3.8
22/09/2020,364,750,3.7,3.7
23/09/2020,433,629,4.1,4.1
24/09/2020,440,563,3.8,3.8
25/09/2020,388,563,4.0,4.0
26/09/2020,394,520,4.0,4.0
27/09/2020,345,402,2.8,2.8
28/09/2020,428,552,3.0,3.0
29/09/2020,587,753,3.3,3.3
30/09/2020,711,996,4.0,4.0
01/10/2020,596,748,3.8,3.8
02/10/2020,542,679,4.0,4.0
03/10/2020,490,655,3.5,3.5
04/10/2020,605,806,3.3,3.3
05/10/2020,665,964,3.9,3.9
06/10/2020,831,"1,119",4.0,4.0
07/10/2020,956,"1,222",4.3,4.3
08/10/2020,831,894,3.9,3.9
09/10/2020,657,723,4.0,4.0
10/10/2020,669,568,3.2,3.2
11/10/2020,787,672,2.6,2.6
12/10/2020,610,559,2.6,2.6
13/10/2020,608,656,3.0,3.0
14/10/2020,683,619,2.7,2.7
15/10/2020,736,635,2.4,2.4
16/10/2020,791,454,3.2,3.2
17/10/2020,458,418,3.7,3.7
18/10/2020,296,251,3.2,3.2
19/10/2020,688,389,2.4,2.4
20/10/2020,905,620,3.1,3.1
21/10/2020,972,615,3.2,3.2
22/10/2020,798,548,3.3,3.3
23/10/2020,842,621,3.4,3.4
24/10/2020,813,487,3.1,3.1
25/10/2020,866,668,2.4,2.4
26/10/2020,840,541,2.2,2.2
27/10/2020,935,773,2.1,2.1
28/10/2020,794,512,2.3,2.3
29/10/2020,587,478,2.4,2.4
30/10/2020,816,510,2.5,2.5
31/10/2020,697,644,2.1,2.1
01/11/2020,845,711,2.0,2.0
02/11/2020,731,824,2.4,2.4
03/11/2020,799,805,2.2,2.2
04/11/2020,892,"1,035",2.3,2.3
05/11/2020,923,818,2.3,2.3
06/11/2020,976,845,2.4,2.4
07/11/2020,896,731,2.4,2.4
08/11/2020,784,875,2.0,2.0
09/11/2020,780,793,2.2,2.2
10/11/2020,750,954,2.2,2.2
11/11/2020,837,800,2.2,2.2
12/11/2020,992,711,2.2,2.2
13/11/2020,902,"1,063",2.2,2.2
14/11/2020,869,758,2.1,2.1
15/11/2020,869,869,2.0,2.0
16/11/2020,697,812,2.1,2.1
17/11/2020,903,"1,064",2.1,2.1
18/11/2020,919,"1,056",2.0,2.0
19/11/2020,747,755,2.0,2.0
20/11/2020,691,701,2.1,2.1
21/11/2020,671,731,2.0,2.0
22/11/2020,593,725,1.8,1.8
23/11/2020,604,626,2.1,2.1
24/11/2020,689,618,2.1,2.1
25/11/2020,722,594,1.8,1.8
26/11/2020,744,674,1.9,1.9
27/11/2020,681,824,1.8,1.8
28/11/2020,499,458,2.1,2.1
29/11/2020,230,465,1.9,1.9
30/11/2020,439,588,2.1,2.1
01/12/2020,568,529,1.8,1.8
02/12/2020,755,786,2.1,2.1
03/12/2020,684,712,2.0,2.0
04/12/2020,535,805,2.1,2.1
05/12/2020,481,877,2.1,2.1
06/12/2020,373,454,1.6,1.6
07/12/2020,510,757,2.1,2.1
08/12/2020,614,870,2.1,2.1
09/12/2020,746,805,2.1,2.1
10/12/2020,767,779,2.0,2.0
11/12/2020,599,983,2.2,2.2
12/12/2020,665,803,1.8,1.8
13/12/2020,646,944,1.8,1.8
14/12/2020,642,"1,078",1.9,1.9
15/12/2020,659,"1,169",2.3,2.3
16/12/2020,570,949,2.8,2.8
17/12/2020,572,689,3.3,3.3
18/12/2020,477,746,3.0,3.0
19/12/2020,383,424,2.8,2.8
20/12/2020,797,907,2.2,2.2
21/12/2020,"1,054","1,058",2.1,2.1
22/12/2020,"1,084","1,445",2.1,2.1
23/12/2020,919,"1,172",2.8,2.8
24/12/2020,760,761,2.8,2.8
25/12/2020,496,270,2.3,2.3
26/12/2020,775,523,1.8,1.8
27/12/2020,886,817,1.3,1.3
28/12/2020,"1,023","1,372",1.8,1.8
29/12/2020,"1,054","1,329",1.9,1.9
30/12/2020,"1,355","1,250",2.2,2.2
31/12/2020,"1,369","1,082",2.5,2.5
01/01/2021,"1,083",702,2.1,2.1
02/01/2021,"1,152",617,1.9,1.9
03/01/2021,"1,636",774,1.7,1.7
04/01/2021,"1,479",775,1.9,1.9
05/01/2021,"1,285",637,2.0,2.0
06/01/2021,"1,591",738,2.0,2.0
07/01/2021,"1,497",788,2.0,2.0
08/01/2021,"1,192",616,2.2,2.2
09/01/2021,961,475,2.1,2.1
10/01/2021,"1,066",458,2.0,2.0
11/01/2021,"1,038",479,2.0,2.0
12/01/2021,"1,110",564,2.1,2.1
13/01/2021,"1,215",563,2.0,2.0
14/01/2021,"1,145",600,1.7,1.7
15/01/2021,"1,318",604,1.7,1.7
16/01/2021,957,468,1.8,1.8
17/01/2021,674,290,1.8,1.8
18/01/2021,716,408,1.9,1.9
19/01/2021,991,555,1.9,1.9
20/01/2021,"1,066",548,1.9,1.9
21/01/2021,957,506,1.8,1.8
22/01/2021,863,414,1.8,1.8
23/01/2021,671,405,1.8,1.8
24/01/2021,606,363,1.7,1.7
25/01/2021,553,376,1.8,1.8
26/01/2021,741,358,1.9,1.9
27/01/2021,655,422,1.7,1.7
28/01/2021,806,409,1.8,1.8
29/01/2021,706,377,1.8,1.8
30/01/2021,617,325,1.3,1.3
31/01/2021,544,327,2.0,2.0
01/02/2021,497,361,2.9,2.9
02/02/2021,543,367,2.2,2.2
03/02/2021,649,419,2.0,2.0
04/02/2021,"1,062",687,1.9,1.9
05/02/2021,833,595,1.9,1.9
06/02/2021,706,475,1.7,1.7
07/02/2021,631,509,1.6,1.6
08/02/2021,488,447,2.0,2.0
09/02/2021,591,522,2.0,2.0
10/02/2021,569,450,2.0,2.0
11/02/2021,600,490,1.9,1.9
12/02/2021,620,496,2.1,2.1
13/02/2021,567,403,1.9,1.9
14/02/2021,462,400,1.6,1.6
15/02/2021,484,523,1.9,1.9
16/02/2021,638,497,1.8,1.8
17/02/2021,717,518,1.8,1.8
18/02/2021,554,492,1.8,1.8
19/02/2021,587,518,1.9,1.9
20/02/2021,560,439,1.5,1.5
21/02/2021,538,418,1.5,1.5
22/02/2021,414,424,1.8,1.8
23/02/2021,547,464,1.9,1.9
24/02/2021,437,477,1.7,1.7
25/02/2021,570,539,1.7,1.7
26/02/2021,456,466,1.4,1.4
27/02/2021,384,306,1.9,1.9
28/02/2021,276,327,1.5,1.5
01/03/2021,371,423,1.3,1.3
02/03/2021,457,511,1.4,1.4
03/03/2021,401,371,2.0,2.0
04/03/2021,336,298,1.7,1.7
05/03/2021,477,516,1.5,1.5
06/03/2021,426,439,1.8,1.8
07/03/2021,330,397,1.8,1.8
08/03/2021,404,593,1.4,1.4
09/03/2021,525,744,1.4,1.4
10/03/2021,504,554,1.6,1.6
11/03/2021,548,596,1.3,1.3
12/03/2021,522,654,1.3,1.3
13/03/2021,460,589,1.4,1.4
14/03/2021,370,440,1.4,1.4
15/03/2021,388,736,1.3,1.3
16/03/2021,635,757,1.4,1.4
17/03/2021,453,796,1.7,1.7
18/03/2021,440,668,1.6,1.6
19/03/2021,556,731,1.3,1.3
20/03/2021,480,596,1.3,1.3
21/03/2021,439,722,1.3,1.3
22/03/2021,386,894,1.3,1.3
23/03/2021,583,733,1.3,1.3
24/03/2021,627,864,1.6,1.6
25/03/2021,478,582,1.8,1.8
26/03/2021,548,866,1.4,1.4
27/03/2021,558,883,1.2,1.2
28/03/2021,455,831,1.7,1.7
29/03/2021,343,651,1.2,1.2
30/03/2021,540,614,1.3,1.3
31/03/2021,437,811,1.3,1.3
01/04/2021,476,639,1.3,1.3
02/04/2021,394,672,1.3,1.3
03/04/2021,330,728,1.2,1.2
04/04/2021,300,391,1.2,1.2
05/04/2021,261,420,1.2,1.2
06/04/2021,277,415,1.2,1.2
07/04/2021,389,373,1.2,1.2
08/04/2021,328,365,1.2,1.2
09/04/2021,275,334,1.3,1.3
10/04/2021,245,207,1.3,1.3
11/04/2021,169,167,1.2,1.2
12/04/2021,205,348,1.3,1.3
13/04/2021,237,296,1.3,1.3
14/04/2021,247,247,1.2,1.2
15/04/2021,202,241,1.2,1.2
16/04/2021,200,302,1.2,1.2
17/04/2021,224,158,1.7,1.7
18/04/2021,214,512,1.2,1.2
19/04/2021,209,397,1.5,1.5
20/04/2021,229,368,1.5,1.5
21/04/2021,218,515,1.8,1.8
22/04/2021,265,661,1.4,1.4
23/04/2021,223,747,1.8,1.8
24/04/2021,203,430,1.7,1.7
25/04/2021,154,379,2.0,2.0
26/04/2021,196,849,1.8,1.8
27/04/2021,228,565,1.7,1.7
28/04/2021,190,548,2.0,2.0
29/04/2021,259,566,1.4,1.4
30/04/2021,225,603,2.0,2.0
01/05/2021,180,341,1.3,1.3
02/05/2021,151,427,1.3,1.3
03/05/2021,178,694,1.7,1.7
04/05/2021,219,673,1.4,1.4
05/05/2021,245,408,1.8,1.8
06/05/2021,243,519,1.9,1.9
07/05/2021,198,462,1.8,1.8
08/05/2021,180,547,1.3,1.3
09/05/2021,203,566,2.0,2.0
10/05/2021,230,900,2.0,2.0
11/05/2021,359,690,2.1,2.1
12/05/2021,310,606,2.4,2.4
13/05/2021,288,587,2.9,2.9
14/05/2021,229,742,2.3,2.3
15/05/2021,292,789,2.3,2.3
16/05/2021,305,672,2.6,2.6
17/05/2021,298,921,2.3,2.3
18/05/2021,397,895,3.0,3.0
19/05/2021,453,913,2.8,2.8
20/05/2021,437,"1,106",2.4,2.4
21/05/2021,467,"1,172",2.6,2.6
22/05/2021,313,900,2.4,2.4
23/05/2021,391,855,2.7,2.7
24/05/2021,399,"1,111",3.0,3.0
25/05/2021,513,"1,432",2.8,2.8
26/05/2021,470,"1,070",2.2,2.2
27/05/2021,709,"1,477",2.3,2.3
28/05/2021,588,"1,302",2.3,2.3
29/05/2021,583,877,2.1,2.1
30/05/2021,522,"1,027",2.0,2.0
31/05/2021,561,"1,394",2.1,2.1
01/06/2021,561,"1,480",2.1,2.1
02/06/2021,675,"1,552",2.1,2.1
03/06/2021,744,"1,209",2.2,2.2
04/06/2021,762,"1,326",2.2,2.2
05/06/2021,750,"1,229",2.2,2.2
06/06/2021,724,"1,012",1.9,1.9
07/06/2021,663,"1,078",2.0,2.0
08/06/2021,799,976,2.1,2.1
09/06/2021,779,"1,264",2.3,2.3
10/06/2021,811,"1,082",2.2,2.2
11/06/2021,810,"1,075",2.9,2.9
12/06/2021,781,796,2.5,2.5
13/06/2021,287,708,2.1,2.1
14/06/2021,731,"1,168",2.2,2.2
15/06/2021,809,"1,403",2.2,2.2
16/06/2021,911,"1,572",2.5,2.5
17/06/2021,864,"1,569",2.7,2.7
18/06/2021,"1,016","1,408",3.0,3.0
19/06/2021,939,"1,242",2.8,2.8
20/06/2021,954,"1,599",30.9,30.9
21/06/2021,976,"1,701",30.1,30.1
22/06/2021,"1,172","1,475",4.2,4.2
23/06/2021,"1,336","1,599",3.2,3.2
24/06/2021,"1,515","1,264",3.9,3.9
25/06/2021,"1,475","1,236",3.9,3.9
26/06/2021,"1,353","1,081",3.4,3.4
27/06/2021,"1,349","1,058",3.4,3.4
28/06/2021,"1,514","1,040",3.8,3.8
29/06/2021,"1,390","1,140",3.9,3.9
30/06/2021,"1,695","1,124",4.0,4.0
01/07/2021,"1,689",963,3.3,3.3
02/07/2021,"1,448",857,2.9,2.9
03/07/2021,"1,344",691,2.9,2.9
04/07/2021,"1,477",743,2.3,2.3
05/07/2021,"1,539",899,2.2,2.2
06/07/2021,"1,553",905,2.2,2.2
07/07/2021,"1,695",927,2.1,2.1
08/07/2021,"1,661",842,2.1,2.1
09/07/2021,"1,299",797,2.0,2.0
10/07/2021,"1,523",744,1.8,1.8
11/07/2021,"1,425",779,1.2,1.2
12/07/2021,"1,277",896,1.3,1.3
13/07/2021,"1,184",888,1.6,1.6
14/07/2021,"1,217",832,1.8,1.8
15/07/2021,"1,162",699,1.4,1.4
16/07/2021,"1,293",792,1.8,1.8
17/07/2021,"1,153",552,1.3,1.3
18/07/2021,"1,330",742,1.2,1.2
19/07/2021,"1,093",747,1.3,1.3
20/07/2021,"1,143",929,1.3,1.3
21/07/2021,"1,244",962,1.2,1.2
22/07/2021,"1,099",935,1.2,1.2
23/07/2021,"1,063",631,1.3,1.3
24/07/2021,915,556,1.2,1.2
25/07/2021,831,707,1.1,1.1
26/07/2021,758,686,1.2,1.2
27/07/2021,954,809,1.3,1.3
28/07/2021,"1,018",767,1.3,1.3
29/07/2021,936,679,1.2,1.2
30/07/2021,861,676,1.2,1.2
31/07/2021,755,519,1.2,1.2
01/08/2021,679,498,1.2,1.2
02/08/2021,680,618,1.3,1.3
03/08/2021,795,616,1.3,1.3
04/08/2021,834,733,1.2,1.2
05/08/2021,811,647,1.3,1.3
06/08/2021,816,617,1.3,1.3
07/08/2021,792,427,1.3,1.3
08/08/2021,651,414,1.2,1.2
09/08/2021,797,690,1.3,1.3
10/08/2021,858,735,1.4,1.4
11/08/2021,"1,016",727,1.9,1.9
12/08/2021,806,655,1.8,1.8
13/08/2021,971,679,1.9,1.9
14/08/2021,889,505,1.9,1.9
15/08/2021,"1,062",659,1.7,1.7
16/08/2021,"1,221",895,2.0,2.0
17/08/2021,"1,358","1,015",2.1,2.1
18/08/2021,"1,319",966,2.2,2.2
19/08/2021,"1,780","1,053",2.3,2.3
20/08/2021,"1,721",921,2.5,2.5
21/08/2021,"1,651",767,2.4,2.4
22/08/2021,"1,866",924,2.4,2.4
23/08/2021,"2,228","1,116",2.9,2.9
24/08/2021,"2,050","1,148",3.3,3.3
25/08/2021,"2,356","1,150",4.1,4.1
26/08/2021,"2,395","1,161",4.4,4.4
27/08/2021,"2,112","1,069",3.9,3.9
28/08/2021,"1,531",607,3.7,3.7
29/08/2021,"1,710",525,3.2,3.2
30/08/2021,"2,327",805,3.1,3.1
31/08/2021,"2,084",844,3.7,3.7
01/09/2021,"2,127",841,3.2,3.2
02/09/2021,"2,081",828,3.3,3.3
03/09/2021,"1,832",678,3.1,3.1
04/09/2021,"1,815",565,3.1,3.1
05/09/2021,"1,938",636,2.9,2.9
06/09/2021,"2,143",777,2.9,2.9
07/09/2021,"1,870",752,2.9,2.9
08/09/2021,"2,088",691,2.4,2.4
09/09/2021,"2,132",709,2.2,2.2
10/09/2021,"2,083",606,2.2,2.2
11/09/2021,"1,746",477,2.0,2.0
12/09/2021,"1,869",559,1.7,1.7
13/09/2021,"1,997",719,1.7,1.7
14/09/2021,"1,998",700,2.6,2.6
15/09/2021,"1,517",500,2.2,2.2
16/09/2021,"2,032",720,2.1,2.1
17/09/2021,"2,095",665,2.0,2.0
18/09/2021,"1,684",515,1.4,1.4
19/09/2021,"1,513",503,1.1,1.1
20/09/2021,"1,624",666,1.1,1.1
21/09/2021,"1,594",711,1.2,1.2
22/09/2021,"1,780",660,1.1,1.1
23/09/2021,"1,653",622,1.1,1.1
24/09/2021,"1,350",437,1.1,1.1
25/09/2021,"1,123",387,1.1,1.1
26/09/2021,"1,166",387,1.0,1.0
27/09/2021,"1,209",592,1.1,1.1
28/09/2021,"1,359",683,1.2,1.2
29/09/2021,"1,280",690,1.2,1.2
30/09/2021,"1,243",432,1.1,1.1
01/10/2021,"1,094",413,1.1,1.1
02/10/2021,964,325,1.1,1.1
03/10/2021,"1,019",366,1.0,1.0
04/10/2021,"1,129",500,1.1,1.1
05/10/2021,"1,204",594,1.1,1.1
06/10/2021,"1,182",446,1.1,1.1
07/10/2021,"1,165",478,1.2,1.2
08/10/2021,"1,059",378,1.1,1.1
09/10/2021,898,299,1.1,1.1
10/10/2021,969,446,1.1,1.1
11/10/2021,867,508,1.1,1.1
12/10/2021,956,464,1.1,1.1
13/10/2021,"1,049",424,1.2,1.2
14/10/2021,925,442,1.1,1.1
15/10/2021,887,406,1.1,1.1
16/10/2021,777,349,1.1,1.1
17/10/2021,800,450,1.0,1.0
18/10/2021,706,451,1.1,1.1
19/10/2021,800,593,1.2,1.2
20/10/2021,773,565,1.2,1.2
21/10/2021,799,540,1.2,1.2
22/10/2021,785,478,1.2,1.2
23/10/2021,781,471,1.1,1.1
24/10/2021,872,463,1.1,1.1
25/10/2021,873,577,1.1,1.1
26/10/2021,859,609,1.5,1.5
27/10/2021,842,581,1.9,1.9
28/10/2021,743,566,1.3,1.3
29/10/2021,982,532,1.1,1.1
30/10/2021,827,509,1.1,1.1
31/10/2021,701,430,1.1,1.1
01/11/2021,771,594,1.1,1.1
02/11/2021,"1,054",759,1.1,1.1
03/11/2021,926,572,1.2,1.2
04/11/2021,"1,037",551,1.2,1.2
05/11/2021,"1,062",434,1.1,1.1
06/11/2021,"1,000",404,1.1,1.1
07/11/2021,"1,051",432,1.1,1.1
08/11/2021,"1,040",520,1.1,1.1
09/11/2021,"1,331",533,1.2,1.2
10/11/2021,"1,446",523,1.1,1.1
11/11/2021,"1,265",427,0.9,0.9
12/11/2021,70,18,0.1,0.1
